gene_id	plot_id	seq_unit	Alevin-fry	Cell Ranger
ENSG00000143612	SCPCL000003 (Single-cell)	Single-cell	0.11093117408906883	0.1
ENSG00000163344	SCPCL000003 (Single-cell)	Single-cell	0.10850202429149798	0.08852459016393442
ENSG00000163479	SCPCL000003 (Single-cell)	Single-cell	0.07368421052631578	0.07049180327868852
ENSG00000160781	SCPCL000003 (Single-cell)	Single-cell	0.2890688259109312	0.2983606557377049
ENSG00000163468	SCPCL000003 (Single-cell)	Single-cell	0.12064777327935222	0.10245901639344263
ENSG00000125462	SCPCL000003 (Single-cell)	Single-cell	2.297165991902834	2.1885245901639343
ENSG00000143256	SCPCL000003 (Single-cell)	Single-cell	0.2	0.17049180327868851
ENSG00000143158	SCPCL000003 (Single-cell)	Single-cell	0.11093117408906883	0.0959016393442623
ENSG00000234741	SCPCL000003 (Single-cell)	Single-cell	0.29392712550607286	0.24754098360655738
ENSG00000135821	SCPCL000003 (Single-cell)	Single-cell	1.0866396761133603	1.1270491803278688
ENSG00000047410	SCPCL000003 (Single-cell)	Single-cell	0.09473684210526316	0.08360655737704918
ENSG00000159176	SCPCL000003 (Single-cell)	Single-cell	0.23076923076923078	0.23114754098360657
ENSG00000069275	SCPCL000003 (Single-cell)	Single-cell	0.36194331983805667	0.35081967213114756
ENSG00000154380	SCPCL000003 (Single-cell)	Single-cell	0.15708502024291499	0.13524590163934427
ENSG00000143799	SCPCL000003 (Single-cell)	Single-cell	0.11740890688259109	0.1
ENSG00000135744	SCPCL000003 (Single-cell)	Single-cell	0.06963562753036437	0.08278688524590164
ENSG00000173726	SCPCL000003 (Single-cell)	Single-cell	0.14979757085020243	0.13934426229508196
ENSG00000153187	SCPCL000003 (Single-cell)	Single-cell	0.1319838056680162	0.13360655737704918
ENSG00000171863	SCPCL000003 (Single-cell)	Single-cell	1.545748987854251	1.2737704918032786
ENSG00000115738	SCPCL000003 (Single-cell)	Single-cell	0.12307692307692308	0.11147540983606558
ENSG00000163032	SCPCL000003 (Single-cell)	Single-cell	0.12388663967611337	0.15163934426229508
ENSG00000143878	SCPCL000003 (Single-cell)	Single-cell	0.07125506072874493	0.09508196721311475
ENSG00000084733	SCPCL000003 (Single-cell)	Single-cell	0.12469635627530365	0.1
ENSG00000138029	SCPCL000003 (Single-cell)	Single-cell	0.20323886639676114	0.17295081967213113
ENSG00000243147	SCPCL000003 (Single-cell)	Single-cell	0.12226720647773279	0.11885245901639344
ENSG00000236824	SCPCL000003 (Single-cell)	Single-cell	0.09149797570850203	51.08688524590164
ENSG00000170634	SCPCL000003 (Single-cell)	Single-cell	0.2097165991902834	0.1540983606557377
ENSG00000115306	SCPCL000003 (Single-cell)	Single-cell	0.345748987854251	0.35327868852459016
ENSG00000143947	SCPCL000003 (Single-cell)	Single-cell	3.31497975708502	2.7336065573770494
ENSG00000163001	SCPCL000003 (Single-cell)	Single-cell	0.09959514170040486	0.08442622950819673
ENSG00000014641	SCPCL000003 (Single-cell)	Single-cell	0.10607287449392712	0.1
ENSG00000169764	SCPCL000003 (Single-cell)	Single-cell	0.19676113360323888	0.16721311475409836
ENSG00000138071	SCPCL000003 (Single-cell)	Single-cell	0.1076923076923077	0.1180327868852459
ENSG00000135624	SCPCL000003 (Single-cell)	Single-cell	0.08987854251012145	0.07622950819672131
ENSG00000115350	SCPCL000003 (Single-cell)	Single-cell	0.1319838056680162	0.10163934426229508
ENSG00000115364	SCPCL000003 (Single-cell)	Single-cell	0.0931174089068826	0.06147540983606557
ENSG00000034510	SCPCL000003 (Single-cell)	Single-cell	1.105263157894737	1.0237704918032786
ENSG00000135940	SCPCL000003 (Single-cell)	Single-cell	0.7433198380566801	0.5983606557377049
ENSG00000158417	SCPCL000003 (Single-cell)	Single-cell	0.18947368421052632	0.17868852459016393
ENSG00000071082	SCPCL000003 (Single-cell)	Single-cell	1.665587044534413	1.4540983606557376
ENSG00000071054	SCPCL000003 (Single-cell)	Single-cell	0.21133603238866397	0.21639344262295082
ENSG00000115091	SCPCL000003 (Single-cell)	Single-cell	0.06882591093117409	0.05901639344262295
ENSG00000155368	SCPCL000003 (Single-cell)	Single-cell	1.1408906882591092	1.0368852459016393
ENSG00000152082	SCPCL000003 (Single-cell)	Single-cell	0.6850202429149798	0.5368852459016393
ENSG00000115762	SCPCL000003 (Single-cell)	Single-cell	0.07044534412955465	0.06967213114754098
ENSG00000144224	SCPCL000003 (Single-cell)	Single-cell	0.09068825910931175	0.06721311475409836
ENSG00000168280	SCPCL000003 (Single-cell)	Single-cell	0.7352226720647773	0.7557377049180328
ENSG00000157827	SCPCL000003 (Single-cell)	Single-cell	0.13360323886639677	0.11967213114754098
ENSG00000144283	SCPCL000003 (Single-cell)	Single-cell	0.17327935222672064	0.1540983606557377
ENSG00000138398	SCPCL000003 (Single-cell)	Single-cell	0.11497975708502024	0.08852459016393442
ENSG00000138385	SCPCL000003 (Single-cell)	Single-cell	0.09554655870445344	0.08688524590163935
ENSG00000091428	SCPCL000003 (Single-cell)	Single-cell	0.4437246963562753	0.4639344262295082
ENSG00000170144	SCPCL000003 (Single-cell)	Single-cell	0.13846153846153847	0.14918032786885246
ENSG00000170035	SCPCL000003 (Single-cell)	Single-cell	0.08502024291497975	0.0680327868852459
ENSG00000115541	SCPCL000003 (Single-cell)	Single-cell	0.2242914979757085	0.22049180327868853
ENSG00000119013	SCPCL000003 (Single-cell)	Single-cell	0.21133603238866397	0.1959016393442623
ENSG00000138443	SCPCL000003 (Single-cell)	Single-cell	0.12712550607287448	0.12950819672131147
ENSG00000114942	SCPCL000003 (Single-cell)	Single-cell	0.594331983805668	0.5
ENSG00000078018	SCPCL000003 (Single-cell)	Single-cell	0.4939271255060729	0.6557377049180327
ENSG00000144451	SCPCL000003 (Single-cell)	Single-cell	0.1214574898785425	0.09180327868852459
ENSG00000079246	SCPCL000003 (Single-cell)	Single-cell	0.11497975708502024	0.08442622950819673
ENSG00000197756	SCPCL000003 (Single-cell)	Single-cell	5.3603238866396765	4.854918032786885
ENSG00000163466	SCPCL000003 (Single-cell)	Single-cell	0.20161943319838058	0.18442622950819673
ENSG00000168958	SCPCL000003 (Single-cell)	Single-cell	0.09635627530364373	0.08442622950819673
ENSG00000135916	SCPCL000003 (Single-cell)	Single-cell	0.3327935222672065	0.3336065573770492
ENSG00000187514	SCPCL000003 (Single-cell)	Single-cell	0.7838056680161943	0.6893442622950819
ENSG00000115468	SCPCL000003 (Single-cell)	Single-cell	0.06315789473684211	0.07131147540983607
ENSG00000182600	SCPCL000003 (Single-cell)	Single-cell	0.12226720647773279	0.09918032786885246
ENSG00000157985	SCPCL000003 (Single-cell)	Single-cell	0.13360323886639677	0.10983606557377049
