sample_id	cell_type	fraction	reference	converged
SCPCS000009	NKcells	1.5069092406871324e-10	Bref	TRUE
SCPCS000009	otherCells	0.9626117746741564	Bref	TRUE
SCPCS000010	Bcells	0.0011197531854856436	Bref	TRUE
SCPCS000010	CD4_Tcells	0.022928404741016848	Bref	TRUE
SCPCS000010	CD8_Tcells	0.014105367997744986	Bref	TRUE
SCPCS000010	Monocytes	0.004614001240539926	Bref	TRUE
SCPCS000010	Neutrophils	0.004250017645250551	Bref	TRUE
SCPCS000010	NKcells	2.1584585953082593e-9	Bref	TRUE
SCPCS000010	otherCells	0.9529824530315034	Bref	TRUE
SCPCS000013	Bcells	8.109766249855296e-4	Bref	TRUE
SCPCS000013	CD4_Tcells	0.02512742151652213	Bref	TRUE
SCPCS000013	CD8_Tcells	0.006318444870342611	Bref	TRUE
SCPCS000013	Monocytes	0.0044515270134549405	Bref	TRUE
SCPCS000013	Neutrophils	0.014442793347959816	Bref	TRUE
SCPCS000013	NKcells	4.818844923129047e-10	Bref	TRUE
SCPCS000013	otherCells	0.9488488361448505	Bref	TRUE
SCPCS000014	Bcells	0.0011625088275476118	Bref	TRUE
SCPCS000014	CD4_Tcells	0.013882837801949953	Bref	TRUE
SCPCS000014	CD8_Tcells	7.251604948366422e-4	Bref	TRUE
SCPCS000014	Monocytes	0.04105750071920905	Bref	TRUE
SCPCS000014	Neutrophils	0.013312984049419092	Bref	TRUE
SCPCS000014	NKcells	0.001405685290794709	Bref	TRUE
SCPCS000014	otherCells	0.9284533228162429	Bref	TRUE
SCPCS000015	Bcells	6.627668317390793e-4	Bref	TRUE
SCPCS000015	CD4_Tcells	0.023333588772581522	Bref	TRUE
SCPCS000015	CD8_Tcells	0.012698525642412061	Bref	TRUE
SCPCS000015	Monocytes	0.005614005349617915	Bref	TRUE
SCPCS000015	Neutrophils	0.0193128998427691	Bref	TRUE
SCPCS000015	NKcells	5.897617978204809e-4	Bref	TRUE
SCPCS000015	otherCells	0.9377884517630598	Bref	TRUE
SCPCS000016	Bcells	5.346036324022413e-4	Bref	TRUE
SCPCS000016	CD4_Tcells	0.012036665069963506	Bref	TRUE
SCPCS000016	CD8_Tcells	0.014777085807439727	Bref	TRUE
SCPCS000016	Monocytes	0.01074827587779346	Bref	TRUE
SCPCS000016	Neutrophils	0.005285609641223396	Bref	TRUE
