sample_id	quantiseq_celltype	proportion
SCPCS000166	Tregs	0
SCPCS000166	Dendritic.cells	0.003903120055846681
SCPCS000166	Other	0.9813650897638183
SCPCS000167	B.cells	0.020184511053535456
SCPCS000167	Macrophages.M1	0
SCPCS000167	Macrophages.M2	0
SCPCS000167	Monocytes	0.023441811074618468
SCPCS000167	Neutrophils	0
SCPCS000167	NK.cells	0.017521316328325154
SCPCS000167	T.cells.CD4	0
SCPCS000167	T.cells.CD8	0
SCPCS000167	Tregs	0
SCPCS000167	Dendritic.cells	0.021198712532404143
SCPCS000167	Other	0.9176536490111168
