project_id	expression_type	sample_id	score_type	score
SCPCP000002	bulk_counts	SCPCS000049	immune	612.1573419606452
SCPCP000002	bulk_tpm	SCPCS000024	stromal	-320.57113809879064
SCPCP000002	bulk_tpm	SCPCS000024	immune	563.0453184556634
SCPCP000002	bulk_tpm	SCPCS000025	stromal	-681.4695224707403
SCPCP000002	bulk_tpm	SCPCS000025	immune	692.562951627523
SCPCP000002	bulk_tpm	SCPCS000026	stromal	-922.6272535763826
SCPCP000002	bulk_tpm	SCPCS000026	immune	-91.05300473859944
SCPCP000002	bulk_tpm	SCPCS000028	stromal	149.4382609601899
SCPCP000002	bulk_tpm	SCPCS000028	immune	855.8882421586407
SCPCP000002	bulk_tpm	SCPCS000029	stromal	-411.21691082767126
SCPCP000002	bulk_tpm	SCPCS000029	immune	483.97951933370695
SCPCP000002	bulk_tpm	SCPCS000030	stromal	-312.3136158430376
SCPCP000002	bulk_tpm	SCPCS000030	immune	679.0439308065147
SCPCP000002	bulk_tpm	SCPCS000032	stromal	-458.9673747893631
SCPCP000002	bulk_tpm	SCPCS000032	immune	877.9667489005597
SCPCP000002	bulk_tpm	SCPCS000033	stromal	-603.7396227123479
SCPCP000002	bulk_tpm	SCPCS000033	immune	143.03474548145613
SCPCP000002	bulk_tpm	SCPCS000036	stromal	-1136.2244540846798
SCPCP000002	bulk_tpm	SCPCS000036	immune	-128.26413909411752
SCPCP000002	bulk_tpm	SCPCS000037	stromal	-653.6882430324881
SCPCP000002	bulk_tpm	SCPCS000037	immune	217.539171365455
SCPCP000002	bulk_tpm	SCPCS000038	stromal	-1280.7288171884995
SCPCP000002	bulk_tpm	SCPCS000038	immune	-959.6419173479002
SCPCP000002	bulk_tpm	SCPCS000039	stromal	-671.4618853116999
SCPCP000002	bulk_tpm	SCPCS000039	immune	739.6748024473093
SCPCP000002	bulk_tpm	SCPCS000040	stromal	-820.3609928665817
SCPCP000002	bulk_tpm	SCPCS000040	immune	498.23781823245275
SCPCP000002	bulk_tpm	SCPCS000042	stromal	-261.1119220208454
SCPCP000002	bulk_tpm	SCPCS000042	immune	837.1815466487619
SCPCP000002	bulk_tpm	SCPCS000044	stromal	-310.0989651086526
SCPCP000002	bulk_tpm	SCPCS000044	immune	1360.882730315461
SCPCP000002	bulk_tpm	SCPCS000045	stromal	-687.2664666145797
SCPCP000002	bulk_tpm	SCPCS000045	immune	193.11842343061664
SCPCP000002	bulk_tpm	SCPCS000046	stromal	-790.5875412316377
SCPCP000002	bulk_tpm	SCPCS000046	immune	394.3773135747419
SCPCP000002	bulk_tpm	SCPCS000047	stromal	-1082.932330445127
SCPCP000002	bulk_tpm	SCPCS000047	immune	-373.80956346061885
SCPCP000002	bulk_tpm	SCPCS000048	stromal	-1230.4651769506902
SCPCP000002	bulk_tpm	SCPCS000048	immune	131.6141543150921
SCPCP000002	bulk_tpm	SCPCS000049	stromal	-112.26937663510385
SCPCP000002	bulk_tpm	SCPCS000049	immune	1068.719440537241
SCPCP000002	pseudobulk	SCPCS000024	stromal	164.88944392098986
SCPCP000002	pseudobulk	SCPCS000024	immune	2560.6698628363874
SCPCP000002	pseudobulk	SCPCS000025	stromal	240.89196952601915
SCPCP000002	pseudobulk	SCPCS000025	immune	2901.4851838328027
SCPCP000002	pseudobulk	SCPCS000026	stromal	58.76138366417204
SCPCP000002	pseudobulk	SCPCS000026	immune	2542.023059360063
SCPCP000002	pseudobulk	SCPCS000028	stromal	-30.048162131082556
SCPCP000002	pseudobulk	SCPCS000028	immune	3201.0502215854854
SCPCP000002	pseudobulk	SCPCS000029	stromal	-18.197344096816572
SCPCP000002	pseudobulk	SCPCS000029	immune	2470.8188459031853
SCPCP000002	pseudobulk	SCPCS000030	stromal	-645.2019563016863
